"","id_aloja","entidad","mun","loc","ageb","mza","longitud","latitud","estatus","motivo_sr","clasealoja","v_tip_vial","v_nom_vial","v_num_ext","v_num_int","v_tip_asen","v_nom_asen","v_cp","letrero_ex","nom_aloja","razon_soc","fig_juri","tel_aloja","ext_tel","mail_aloja","alimentos","vestido","s_medico","medicamnto","s_educ","talleres","ter_fisica","act_recrea","apoyo_jur","salud_sex","terapia_gp","apoyo_psc","religion","transporte","colectas","cuotas","empresanac","donaciones","agrupa_rel","elab_prod","gobierno","org_inter","fidecomiso","inicio_act","cluni","reglamento","expediente","rep_legal","tenencia","paredes","techos","pisos","dormitorio","camas","cunas","cisterna","tinaco","boiler","rampa_sr","salida_em","señales_em","alarma_em","botiquin","extintor","vigilancia","cocina","comedor","oficina","salones","sala_convi","cons_med","inst_rehab","bodega","jardines","cancha","inst_lavar","tazas_bano","tazas_adap","mingitorio","letrinas","regaderas","rega_adap","capacidad","t_volunta","tm_volunta","th_volunta","t_trabaja","t_residen","lon","lat"
"11",977297,"09","010","0001","1186","004","-99°12'45.45""","19°20'25.88""","1",NA,"5","03","TOLUCA","354",NA,"07","OLIVAR DE LOS PADRES","01780","2","MONASTERIO AUTÓNOMO DE CLARISAS CAPUCHINAS","MONASTERIO AUTÓNOMO DE CLARISAS CAPUCHINAS DE LA PRECIOSA SANGRE EN MÉXICO DF AR","4","55957854",NA,"CLARCAPUCHINASPS@YAHOO.COM.MX","1",1,1,1,"1",1,2,1,"1",1,1,1,"1",1,"1","2","2","2","2","2","2","2","2","1957","2","1","1","1","1","5","4","3","30","30","0","1","1","1","2","1","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","12","0","0",NA,"12","2","30","0",NA,NA,4,5,-99.2015138888889,19.33497
"12",977298,"09","010","0001","1699","022","-99°14'07.23""","19°20'04.82""","1",NA,"5","05","MIMOSA","21",NA,"08","SAN JOSÉ DEL OLIVAR","01770","2","INSTITUTO FEMENIL CONSOLACIÓN","INSTITUTO FEMENIL CONSOLACIÓN AC","1","55850718",NA,"POL_SI@HOTMAIL.COM.MX","1",1,2,1,"1",1,1,1,"1",1,1,1,"1",1,"2","2","2","1","1","1","2","2","2","1974","1","1","1","1","1","5","4","2","40","40","0","1","1","1","1","1","2","2","1","2","2","1","1","1","1","1","2","2","1","1","1","1","40","4","2",NA,"40","4","40","4","3","1",1,20,-99.2353416666667,19.33467
"13",977358,"09","005","0001","0525","005","-99°08'35.81""","19°30'24.46""","1",NA,"5","03","MARGARITA MAZA DE JUAREZ","150 BIS",NA,"07","NUEVA INDUSTRIAL VALLEJO","07700","2","C.A.I.S. VILLA MUJERES","C.A.I.S. VILLA MUJERES SIN RAZÓN SOCIAL","5","53921963",NA,"CAIS_VILLAMUJERES@HOTMAIL.COM","1",1,1,1,"1",1,1,1,"1",1,1,1,"1",1,"2","2","2","1","1","2","1","2","2","2001","2","1","1","1","1","5","4","3","44","500","8","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","65","65","0",NA,"110","22","600","100","70","30",144,383,-99.1349472222222,19.50124
"14",977365,"09","007","0001","0318","001","-99°01'26.04""","19°23'02.72""","1",NA,"5","05","ENNA","SN",NA,"07","SANTA MARTHA ACATITLA NORTE","09140","1","C.A.I.S. LA CASCADA","C.A.I.S. LA CASCADA","5","5557449605",NA,"CAIS_CASCADA@HOTMAIL.COM","1",1,1,1,"2",1,1,1,"1",1,1,1,"1",1,"2","2","2","2","2","2","1","2","2","1964","2","1","1","1","5","5","4","3","6","400","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","27","7","0",NA,"43","19","400","0",NA,NA,161,367,-99.0183444444444,19.38409
"15",9813110,"09","016","0001","011A","015","-99°12'18.78""","19°27'21.71""","1",NA,"5","05","LAGO COLHUE","34",NA,"07","ANTIGUA ARGENTINA","11270","1","EJÉRCITO DE SALVACIÓN","EJÉRCITO DE SALVACIÓN AC","1","62785335",NA,"EDS5@GMAIL.COM","1",1,1,2,"1",2,2,1,"2",2,2,2,"1",1,"1","1","1","1","1","2","1","2","2","2005","1","1","1","1","1","5","4","3","2","16","0","2","1","1","2","2","2","2","1","1","1","1","1","1","2","1","2","2","1","2","2","1","3","0","0",NA,"1","0","30","8","5","3",3,30,-99.2024388888889,19.45048
"16",33811111,"09","014","0001","0740","015","-99°10'11.91""","19°22'41.78""","1",NA,"5","05","CEREZAS","86",NA,"07","DEL VALLE","03100","1","ASOCIACIÓN PARA LA DEFENSA DE LA MUJER IAP","ASOCIACIÓN PARA LA DEFENSA DE LA MUJER, IAP","2","55758547",NA,"APDM_86@HOTMAIL.COM","1",2,1,2,"2",2,2,2,"2",1,1,1,"1",2,"2","1","1","1","2","2","2","2","2","1923","2","1","1","1","1","5","4","3","15","48","0","1","1","1","2","1","1","1","1","1","2","1","1","1","1","1","2","2","1","1","2","1","15","0","0",NA,"15","0","48","0",NA,NA,7,31,-99.1671972222222,19.36716
"17",60957125,"09",NA,NA,NA,NA,NA,NA,"1",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"FORTALEZA CENTRO DE ATENCIÓN INTEGRAL A LA MUJER IAP","FORTALEZA CENTRO DE ATENCIÓN INTEGRAL A LA MUJER, IAP","2",NA,NA,NA,"1",1,1,1,"1",1,1,1,"1",1,1,1,"2",1,"2","2","1","1","2","2","1","2","2","1999","1","1","1","1","1","5","4","3","12","31","7","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","6","1",NA,NA,"6","1","36","4","4","0",25,18,NA,NA
"18",60957126,"09",NA,NA,NA,NA,NA,NA,"1",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"FUNDACIÓN DIARQ, IAP","FUNDACIÓN DIARQ, IAP","2",NA,NA,NA,"1",1,1,1,"2",1,1,1,"1",1,1,1,"2",1,"2","2","1","1","2","2","1","2","2","2004","1","1","1","1","3","5","4","2","6","20","6","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","5","0",NA,NA,"5","0","30","0",NA,NA,17,24,NA,NA
"19",63357123,"09",NA,NA,NA,NA,NA,NA,"1",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"CASA DE EMERGENCIA PARA MUJERES QUE VIVEN VIOLENCIA FAMILIAR","SECRETARÍA DE DESARROLLO SOCIAL","5",NA,NA,NA,"1",1,1,1,"2",2,2,1,"1",1,1,1,"2",2,"2","2","2","2","2","2","1","2","2","2005","2","1","1","1","5","5","1","3","3","13","3","1","1","1","2","1","2","1","2","1","1","1","1","1","2","2","1","2","2","2","2","1","1","0",NA,NA,"2","0","21","0",NA,NA,11,13,NA,NA
"20",63357124,"09",NA,NA,NA,NA,NA,NA,"1",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"ESPACIO MUJERES PARA UNA VIDA DIGNA LIBRE DE VIOLENCIA AC","ESPACIO MUJERES PARA UNA VIDA DIGNA LIBRE DE VIOLENCIA AC","1",NA,NA,NA,"1",1,2,1,"2",1,1,1,"1",1,1,1,"2",2,"2","2","2","2","2","2","1","1","2","2012","1","1","1","1","3","5","4","3","6","14","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","2","1","4","0",NA,NA,"3","0","30","0",NA,NA,19,16,NA,NA
"21",63357128,"09",NA,NA,NA,NA,NA,NA,"1",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"REFUGIO PARA MUJERES QUE VIVEN VIOLENCIA FAMILIAR SECRETARÍA DE DESARROLLO SOCIAL DEL DISTRITO FEDERAL","REFUGIO PARA MUJERES QUE VIVEN VIOLENCIA FAMILIAR SECRETARÍA DE DESARROLLO SOCIAL DEL DISTRITO FEDERAL","5",NA,NA,NA,"1",1,1,1,"1",1,1,1,"1",1,1,1,"2",1,"2","2","1","1","2","2","1","2","2","1997","1","1","1","1","1","5","4","3","3","40","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","2","1","17","0",NA,NA,"8","0","70","1","1","0",43,48,NA,NA
